Theme parameters supported by the functions

ThemeLayout_GetParameter, ThemeLayout_SetParameter


v5


idx   	   retval                           desc                                      value  defValue  minValue  maxValue
241   LayoutC-mcpMeterValsRecarm         Layout C - Armed Mixer Meter Values             1         1         0         1
242   LayoutC-mcpNormalDarkButtons       Layout C - Dark Under Buttons                   1         1         0         1
243   LayoutC-mcpNormalShowSecIn         Layout C - mcpNormalShowSecIn                 350       350         0       500
244   LayoutC-mcpNormalShowSecPan        Layout C - mcpNormalShowSecPan                300       300         0       500
245   LayoutC-mcpNormalShowRoute         Layout C - mcpNormalShowRoute                   1         1         0         1
246   LayoutC-mcpNormalShowSecFx         Layout C - mcpNormalShowSecFx                   1         1         0         1
247   LayoutC-mcpNormalShowEnv           Layout C - mcpNormalShowEnv                     1         1         0         1
248   LayoutC-mcpNormalShowPhase         Layout C - mcpNormalShowPhase                   1         1         0         1
249   LayoutC-mcpLabelSize               Layout C - MCP Label Font Size                  4         4         1         5
250   LayoutC-mcpInterShowSecIn          Layout C - mcpInterShowSecIn                  350       350         0       500
251   LayoutC-mcpInterShowSecButtons     Layout C - mcpInterShowSecButtons             380       380         0       500
252   LayoutC-mcpInterShowSecPan         Layout C - mcpInterShowSecPan                 300       300         0       500
253   LayoutC-mcpStripLabelHeight        Layout C - Label Height                        88        88         0       300
254   LayoutC-mcpStripInputHeight        Layout C - Record Input Height                 70        70        20       140
255   LayoutC-mcpStripMeterHeight        Layout C - Meter Height                        40        40        20       300
256   LayoutC-mcpStripVolumeHeight       Layout C - Volume Height                      120       120        60       300
257   LayoutC-mcpStripHideExtmixer       Layout C - Hide non-sidebar ExtMixer            1         1         0         1
258   masterMcpWidth                     Master Mixer Panel Width                      132       132        90       400
259   masterMcpMeterVals                 Master MCP Meter Values                         1         1         0         1
260   masterMcpVals                      Master MCP Values                               1         1         0         1
261   masterMcpLabels                    Master MCP Labels                               1         1         0         1
262   masterMcpBgColR                    Master MCP background colour                   51        51         0       255
263   masterMcpBgColG                    Master MCP background colour G                 51        51         0       255
264   masterMcpBgColB                    Master MCP background colour B                 51        51         0       255
265   transBgColR                        Transport background colour                    51        51         0       255
266   transBgColG                        Transport background colour G                  51        51         0       255
267   transBgColB                        Transport background colour B                  51        51         0       255
268   transMargin                        Transport Margins                               6         6         0        12
269   transStatusWidth                   Status Width                                  450       450       150       700
270   transStatusColR                    Transport status colour                        51        51         0       255
271   transStatusColG                    Transport status colour G                      51        51         0       255
272   transStatusColB                    Transport status colour B                      51        51         0       255
273   transRateFaderWidth                Rate Width                                    100       100       100       400
274   transSelectionWidth                Selection Width                               350       350       150       700
275   transSelectionFontSize             Selection Font Size                             3         3         1         5
276   themeVersionDate                   Theme Version Date                         240503    240503    240503    240503


_______________________________________________________________________________________________________________________




RETRIEVED AND COMPILED WITH THE FOLLOWING CODE



function s(count)
return (' '):rep(count)
end

local long_ret = 'LayoutA-mcpInterShowSecButtons' -- longest retval (v7)
